Applicable Material,Brand Contact,Base,Brand,Capacity,Care Instructions,Category,Collection,Color,Compliance Standards,Construction,Control Type,Country of Origin,Depth,Diameter,Dirt Types,EAN,Energy Efficiency,Expiry,Finish,Freezer Capacity,Height,Length,Manufacturing Standard,Material,Model Number,Mounting,Packing Type,Power,Price,Room,Scent,Series,Shape,SKU,Style,Thickness,UPC,Warranty,Weight,Width,Product Type
Linoleum,,,Mountain,13.96 l,,Mountain,Vision,Coffee,CFIA,Non-stick Coating,,,18.54 cm,63.02 cm,Dust,4000530562807,,March 17,Ceramic,,17.78 cm,36.51 cm,,Cotton,MRS-STD2108-2UG-BG,,,,,,Blue Splash,,Square,10388153,Contemporary / Modern Glass Top,,819497017220,,5.7 g,4.577 cm,
Sheet Vinyl,,,Lawnmowers,14 l,,Lawnmowers,Loft,Light Cherry/Black,Kosher,Plastic Laminate Top With Wood Trim,,,18.73 cm,66 cm,Exhaust Residue,4004633232537,,2017,Stainless Steel0,,17.80 cm,37.34 cm,,Linen,EAG-DT2436-ZS,,,,,,Energizing Citrus Zest,,Milk Pot,30019985,Nessie,,010942208945,,5.73 g,4.626 cm,
Solid Vinyl Tile (SVT),,,Underbar Stations,14.19 l,,Underbar Stations,Linum,Hotpink,Meets DOT & OSHA non-corrosive requirements,SS Exterior & Alum Interior,,,19.05 cm,67.9 cm,Fabric Stains,4006932670140,,January 06,Crisp white finish,,17.94 cm,38.10 cm,,Cast iron,KRO-28-117S,,,,,,Clean Citrus Scent,,Straight,30019985A1,Push Pump,,784672455732,,5.8 g,4.646 cm,
Terrazzo,,,Retail Store,14.99 l,,Retail Store,Celebration,Brass,Meets the Purchase of Sustainable Cleaning Products and Materials� criteria under the LEED point management system,Stainless Steel Top And Front,,,19.37 cm,68.58 cm,Fresh Paint,3831109846063,,2017,Enamel,,18.00 cm,40.01 cm,,Soft-Spun Polyester or DuraCord,MRS-STD2108-3EHS-BG,,,,,,Fresh Scent,,rectangle,PT/CF/3178/801,Margarita,,088677089047,,5.83 g,4.651 cm,
Vinyl Composition Tile (VCT),,,Childrens Clothing,15.14 l,,Childrens Clothing,Grand Gourmet,Cobalt,Green Seal Certified,Doors are a chipboard core covered with particle board and then medium density fibre on top.,,,19.69 cm,7 cm,Fungus,4211129049702,,November 16,Green,,18.10 cm,40.16 cm,,3-ply Rope,SCO-C1848MA-32,,,,,,Summer Breeze,,Teapot,PT/CF/5883/031,Mug,,789416336186,,5.84 g,4.675 cm,
Stainless Steel,,,Portion Control Food Scales,15.88 l,,Portion Control Food Scales,Michalsky,Desert Pearl,Meets U.S. EPA standards for post-consumer material paper content,Wicker,,,20.07 cm,7.5 cm,Germs,4006932621029,,2017,Polymer & Stainless Steel,,18.26 cm,40.64 cm,,80% Cotton,JOH-CDT4-I6048SBK-R,,,,,,Mild,,Bowl Cereal,4-CupCoffeemakerDCC-450BKC,Pan Slides,,074994451650,,5.88 g,4.700 cm,
Wood,,,Boutis provenzali,15.9 l,,Boutis provenzali,Flame,Black ,Carpet and Rug Institute Certified,Fiberglass,,,20.32 cm,7.6 cm,Grease,4000530535207,,December 13,Stainless Steel Construction W/galv Pipe Legs,,18.29 cm,41.40 cm,,10% Modal,VER-SAU-34,,,,,,Fresh Lavender,,Crescent,PTC/CF/7151/310,Cooktop,,077985038458,,5.89 g,4.724 cm,
Ceramics,,,Components,16.09 l,,Components,Yari,Silver0,Green Seal Certified,14 Gauge Aluminum,,,20.60 cm,7.7 cm,Grime,4006932658889,,2016,Please Select Unfinished Cherry Finish0(+$59.00),,18.42 cm,41.66 cm,,5% Spandex,TOW-YF-2-SS,,,,,,Beach Sage,,Tin (Set of 3),1280-1130,Remote Refrigeration (with Compressor),,042976636036,,5.9 g,4.764 cm,
Enamel,,,Skates,16.27 l,,Skates,KAISER Love,Butcher Block,LEED Building Compliant,Clear Acrylic,,,20.70 cm,7.8 cm,Hydraulic Fluid,4004633208150,,December 02,Stainless Steel and Black Glass,,18.73 cm,41.91 cm,,5% Fiber,ADV-VKG-240,,,,,,Orange Energy,,Duvet Double,PTC/CF/7151/914,Circles,,024147208389,,5.95 g,4.774 cm,
Fiberglass,,,Bed cover,16.33 l,,Bed cover,Weinland,Beige White,ADA Compliant,Heavy Gauge Steel,,,20.80 cm,7.9 cm,Mildew,4015625786976,,2017,Blue-green Hybrid Epoxy,,18.80 cm,42.16 cm,,Cedar,MRS-LPV296-2EFO-OB,,,,,,Blissful Apples & Cinnamon,,Dish Small,newitem242155710,Mosaic,,780873594911,,6.00 g,4.823 cm,
Glass,,,Hand,17 l,,Hand,Magnets,Marquina Black,LEED Applicable,Metal Housing,,,20.83 cm,70.20 cm,Mold,7332543309368,,February 14,Aluminum And Stainless Steel,,18.80 cm,42.39 cm,,UV Resistant Canvas,EAG-T2496SE-BS,,,,,,Wild Basil & Lime,,Shell Shaped,PTC/CF/7151/021,American Style,,088354655695,,6.02 g,4.856 cm,
Grout,,,Funky Collectibles,17.03 l,,Funky Collectibles,BonJour Dinnerware Fruitful Nectar,Stainless Steel Color,CGMP,anodized aluminum,,,20.96 cm,70.21 cm,Oil,4000530664242,,2018,Glossy,,19.00 cm,42.42 cm,,Aluminum Frame,ACY-371-4-5-92,,,,,,Lavender & Chamomile,,Skirting,PT/CF/5788/526,European Table Fork,,045908010256,,6.07 g,4.872 cm,
Laminates,,,Seasonal,17.69 l,,Seasonal,SmarTea,Oatmeal,EcoLogo Certified,stainless steel exterior,,,21.08 cm,71.12 cm,Organic Matter,4044951008360,,February 15,Grey,,19.05 cm,42.55 cm,,Aluminium,INT-HDM1848Q-DSG,,,,,,Floral Balsam,,Knee / Elbow,4044951008360,Thumb Press,,016017041301,,6.1 g,4.897 cm,
Metal,,,Autos,18 l,,Autos,Perfect,Stainless Steel W/black Trim,FSC Certified,Glass With Stainless Steel Top,,,21.11 cm,76.2 cm,Scuff Marks,4000530638519,,2017,Red Epoxy,,19.30 cm,42.67 cm,,Resin,PLY-54000WE2M,,,,,,Ocean Breeze,,Fish,30020023,Sediment & Chlorine Reduction W/scale Inhibit,,713331085416,,6.15 g,4.921 cm,
Plastic,,,Bus Pans,18.17 l,,Bus Pans,Depot Fresh,Espresso/White,LEED Applicable,Stainless Steel Base,,,21.19 cm,8 cm,Smoke Film,4000530668806,,July 14,Epoxy Coating,,19.37 cm,43.02 cm,,Rust-Resistant Aluminum,DUK-314-3048-5R,,,,,,Clean Breeze,,Caddies (Set of 3),SMD/CF/5908PAG/CHAR,Four Channel,,781147718347,,6.2 g,4.961 cm,
Sealed/Engineered Stone,,,Small,18.93 l,,Small,Vario Comfort,Rio Orange,SFI Certified,Aluminum W/hardcoat,,,21.27 cm,8 cm (10.6 cm including handle),Soap Scum,4000530674050,,2017,Cherry,,19.53 cm,43.18 cm,,PPR,MES-CO620BA,,,,,,Hawaiian Aloha Scent,,Mug 1 Pint,PTC/CF/1249/912,Single Function,,021130091645,,6.25 g,4.972 cm,
Vinyl,,,Carts,19.87 l,,Carts,Via,Ironstone,California Proposition 65 Compliant,Stainless Steel Top And Front,,,21.43 cm,8.2 cm,Soot,4000530586292,,July 10,Plastic Coated,,19.69 cm,45.09 cm,,100% Woven Cotton,PSF-LS302472,,,,,,Macintosh Apple & Cinnamon,,Slanted,PTC/CF5984/108,Specify Cooling,,812743020715,,6.34 g,5 cm,
Griddles,,,Restaurant Seating Chairs,19.96 l,,Restaurant Seating Chairs,Geschenkidee,Camouflage,Compliant with the VOC (Volatile Organic Compound) Limits,Galv. Legs,,,21.59 cm,8.4 cm (12.1 cm including handle),Viruses,4004633160663,,2017,Black Glass with shiny stainless steel,,20.00 cm,45.56 cm,,Non-Stick Steel,PIP-715-2-A8,,,,,,Lemon Sparkle,,Duvet Single,30021564,Counter Height,,049762179524,,6.35 g,5.000 cm,
Grills,,,Kitchen,20 l,,Kitchen,Jette,Transparent Bronze,including California,Walnut Butcher Block,,,21.91 cm,8.5 cm,Wallpaper Paste,4006932605432,,April 25,Resin,,20.32 cm,45.72 cm,,Base: Stainless Steel SS316,CAM-RD926CW135,,,,,,Slight Chlorine,,Narrow Oval,30022165,Glycol Cooled,,642896992634,,6.37 g,5.020 cm,
Ovens,,,Folk Art,20.41 l,,Folk Art,TERRA,Heather Gray,Compliant with TSCA regulations,Non-stick,,,22.23 cm,88.8 cm,Water-Based Soil,4000530675750,,2017,Stainless Steel Construction,,20.50 cm,48.26 cm,,Anti-slip Plate: NBR,EAG-G1836R,,,,,,Fruity,,Tin Biscuit,PTC/CF6456/707,Combination Solid / Vented,,782804433641,,6.38 g,5.039 cm,
Ceramic,,,Tools,20.82 l,,Tools,Tiere,Red/Yellow,USDA Approved,Brass,,,22.35 cm,88.9 cm,Dirt,4000530654359,,September 17,Chromeplated,,20.64 cm,50.80 cm,,~85 Shore A,FOC-905525,,,,,,Spring,,Spoon Salad,30019732,Canopy Pro Style,,044681377518,,6.4 g,5.044 cm,
Fiberglass,,,Coffee Decanters,22 l,,Coffee Decanters,Boston,Titanium,GREENGUARD Certified,Silver,,,22.54 cm,9 cm,Grease,4000530647719,,2017,Stainless w/ Gold Hardware,,20.96 cm,52.07 cm,,Silitstahl,UPD-SDB-20,,,,,,Crisp Citrus,,Cake Stand,HR2200/80,Food Mill,,848971022481,,6.5 g,5.069 cm,
Plastic,,,Dish Dispensers,22.23 l,,Dish Dispensers,Farm,Sandstone,NFPA Life Safety Code 101,18-8 Stainless Steel,,,22.86 cm,9.4 cm,Grime,4006932611181,,October 30,Plastic Laminate Top With Vinyl Molding,,21.00 cm,52.71 cm,,Porcelain,CAR-61220,,,,,,Black Cherry,,Assorted,RILE_C5663_RASP,Rear Chase W/blender Recessed Step,,099967311618,,6.51 g,5.079 cm,
Porcelain,,,Accessories,22.65 l,,Accessories,Teramo,Los Angeles Kings,Section 31,Blend,,,22.87 cm,9.5 cm,Oil,4000530585301,,2016,Sand,,21.08 cm,53.34 cm,,Cotton 50% / Polyester 50%,LAR-L-62148-18-28,,,,,,Sea Minerals,,Dish,ADB32412,Rounded Corners,,043931195988,,6.6 g,5.118 cm,
Stainless Steel,,,Popcorn Popper Machines,22.71 l,,Popcorn Popper Machines,Clever & More,Antique White,OSHA Compliant,Tinned Steel,,,23.11 cm,92 cm,Organic Matter,4000530603050,,August 28,Nonglare,,21.10 cm,55.88 cm,,Metal Plastic,VER-SAU-94-VI-CG,,,,,,Alpine Springs/Mountain Peaks,,Jug Half Pint,PTC/CF/5888/939,Tapered Sides,,817801013807,,6.61 g,5.142 cm,
Ceramic,,,NSF Compartment Sinks,23.09 l,,NSF Compartment Sinks,SKYLINE,pink,AHAM Verified,Glass & Stainless Steel,,,23.18 cm,N/A,Stains,4000530660428,,2017,Black Slide/Gray Frame,,21.27 cm,58.42 cm,,TPU,SID-SVAP25PD,,,,,,Pleasant,,Plate 10 and a Half Inch,PTC/CF/3385/129,Hinged,,898078001766,,6.62 g,5.167 cm,
Plastic,,,Cruising,23.66 l,,Cruising,Diadem Plus,Sage Green / Maple,California Air Resources Board (CARB) Compliant,24 Gauge Stainless Steel,,,23.37 cm,Various,Fingerprints,4000530640000,,November 23,Stainless Steel Finish,,21.44 cm,59.69 cm,,Terry,BON-52031S,,,,,,Forest Dew,,Flanged,30022882,Double,,804993616671,,6.67 g,5.217 cm,
Stainless Steel,,,Water Filters,24 l,,Water Filters,Bueno Induktion,Translucent Yellow,Certified by Asthma and Allergy Foundation of America,Ceramic,,,23.50 cm,,Grease,4000530663191,,2017,Powder-coated in attractive color,,21.59 cm,60.96 cm,,Cloth,HAT-GRS-66-A,,,,,,Magnolia & Cherry Blossom,,Tray,30022881,Contemporary,,056975016287,,6.7 g,5.236 cm,
Chrome,,,Kitchenware,24.61 l,,Kitchenware,Barbeque Line,Light Gray/Medium Gray,True HEPA filter (99.97% efficient down to 0.3 micron particles,Stainless Steel Blades,,,23.62 cm,,Organic Matter,4000530592316,,November 10,Pewter,,21.91 cm,61.91 cm,,Plastic,BON-3RSTPE-AB,,,,,,,,Duvet Cover,PTC/CF/5741/265,Coastal,,068589440358,,6.72 g,5.240 cm,
Glass,,,Tea Brewers & Dispensers,24.99 l,,Tea Brewers & Dispensers,Perfect Plus,Black-terra Cotta,tested according to standard IEST RP CC001.5),Solid Stainless Steel,,,23.81 cm,,Food Stains,4000530659897,,2016,chrome,,22.00 cm,63.18 cm,,PP,APW-MCTR-2020,,,,,,,,Full Corner,CF/PTC/4252/074,Electric,,885837005707,,6.83 g,5.266 cm,
Metal,,,Washers,25 l,,Washers,Batido,Yellow,UL Listed,Plywood,,,23.88 cm,,Grass Stains,4000530644909,,December 18,Deep Cappuccino finishes.,,22.23 cm,63.50 cm,,PS,ACY-414-3-5,,,,,,,,Natural Shape,CC/CF/ENERGY/HEATHER/F0383/03,Traditional-persian/oriental,,782195471406,,6.9 g,5.276 cm,
Plastic,,,Hand Dryers,26 l,,Hand Dryers,,Mustard,Approved by the U.S. Postal Service,Tinplate,,,24.13 cm,,Grease,4000530586483,,2016,Smoked Glass Epoxy,,22.23 cm,64.77 cm,,Set collar,NEW-12460GS,,,,,,,,Flute,1280-1262,Chefs Knife / Gyuto,,720698804567,,6.95 g,5.299 cm,
Steel,,,Refrigerator with one or more fresh-food storage compartments,26.5 l,,Refrigerator with one or more fresh-food storage compartments,,Blue/Green,ANSI Z359 Compliant,Polymer & Stainless Steel,,,24.38 cm,,Organic Matter,4000530683311,,February 09,epoxy coated,,22.38 cm,65.41 cm,,divided: stainless steel 1.4305,MRS-LPV284-2EOM-SS,,,,,,,,1/4 Circle,AZ00-32809x31955,Folded Top,,847539029771,,6.97 g,5.315 cm,
Tile,,,Garage,27.22 l,,Garage,,White & Black7. Suitable for: Above 3 years of age,OSHA Compliant,Die-cast Housing,,,24.45 cm,,Bacteria,4006932603070,,2017,black,,22.70 cm,65.72 cm,,Thin Sheet,CAM-BC2304S401,,,,,,,,Insect,PTC/CF/5716/912,Top Fill Bin,,885458757566,,7.00 g,5.364 cm,
Wood,,,Countertops,28 l,,Countertops,,Silver & Black,Conforms to FDA 5-501.113 Standards,Clear Vinyl,,,24.77 cm,,Dust,4000530677907,,February 08,Galvalume,,22.86 cm,66.04 cm,,Plastic / Poly -,IMP-IABS-72,,,,,,,,Saucepan Small,CF/CC/BIRDTRAIL/SEAFM/F0293/04,Chamber,,806792171108,,7.01 g,5.413 cm,
Nonporous Surfaces,,,Bookcases,28.32 l,,Bookcases,,Win Red,cULus Listed,Aluminum And Stainless Steel,,,24.89 cm,,Fungus,4000530652812,,2017,Gray Epoxy,,22.94 cm,68.58 cm,,Metal with Wood Slats,EAG-MC1436-48-4W,,,,,,,,Baker Heart Large,NILOFN2242_4621293AMZX,Wine & Champagne,,789542525379,,7.05 g,5.426 cm,
Linoleum,,,Coin Bag,28.58 l,,Coin Bag,,Brown & Beige,LEED Applicable,Clear 12 Mil PVC Vinyl,,,25.08 cm,,Germs,4000530636393,,December 17,Gloss,,23.00 cm,71.12 cm,,Modal Wool Synthetic fibre,ADV-DTS-K30-60L,,,,,,,,Hen on Nest,30022872,Modern,,798043205925,,7.1 g,5.463 cm,
Marble,,,General,29.03 l,,General,,Magic Mug,SCS Indoor Advantage Gold Certified,Zinc Coated,,,25.40 cm,,Grime,4000530663412,,2017,Black Cherry,,23.02 cm,72.07 cm,,Lace,THU-5008BB,,,,,,,,Lid,008.002.009.013,Strawberry Huller,,696750759659,,7.23 g,5.465 cm,
No-Wax Floors,,,Pools,30 l,,Pools,,Ocean Blue,CSA Certified,Stamped,,,25.72 cm,,Mildew,4004633166207,,January 05,Blue/Yellow,,23.18 cm,74.93 cm,,Gauze,CRC-5-121-GR5,,,,,,,,Wavy Rectangle,PT/CF/3106/316,Fry Pans,,722651301366,,7.3 g,5.5 cm,
Sealed Ceramic,,,Roommate,30.28 l,,Roommate,,STAINLESS,OSHA Approved for Commercial Use,Resin,,,25.88 cm,,Mold,4000530337948,,2017,Navy,,23.20 cm,76.20 cm,,Hydroknit,FOL-HMD1400NJS,,,,,,,,Dish Roasting,PTC/CF/8228/372,Cart,,852661916790,,7.31 g,5.512 cm,
Sealed Hardwood,,,RECTANGULAR TABLECLOTH,31.75 l,,RECTANGULAR TABLECLOTH,,Warm Gray,EcoLogo Certified,Black Steel,,,25.91 cm,,Soap Scum,4000530572523,,July 19,Smoked Glass,,23.40 cm,76.84 cm,,Silicone,GLT-IDU-12X54,,,,,,,,Half Moon,MR-PS1528,Over-The-Head,,736211517395,,7.35 g,5.551 cm,
Tile,,,Slicers,32.17 l,,Slicers,,black,EPA Compliant,Stainless Steel Construction,,,26.04 cm,,Soil,4000530669001,,2017,Stainless Steel Matt,,23.50 cm,77.47 cm,,Powder-coated steel,GET-ML-239-BK,,,,,,,,Tureen,PT/CF/3104/238,Vertical,,798527625010,,7.44 g,5.561 cm,
Vinyl,,,Cookware,32.18 l,,Cookware,,beige,Green Seal Certified,Stainless Steel Front,,,26.19 cm,,Dust,4242002827209,,November 30,Stainless Steel Top,,23.50 cm,78.74 cm,,Chrome Plated,NEM-67413,,,,,,,,Beveled,CF/PTC/TNGLEWD/PAINT/5866/335,Ice Cooled,,781723436719,,7.45 g,5.591 cm,
Cement/Concrete,,,Fitness,33.57 l,,Fitness,,grey,EPA Compliant,Painted Sides,,,26.35 cm,,Fingerprint,4004633267171,,2017,Front,,23.62 cm,80.65 cm,,100% Cotton,ADV-KMG-307,,,,,,,,Teapot 3 Mug,9449-2252,W/special Scale Inhibitor,,046928042234,,7.5 g,5.610 cm,
Ceramics,,,Golf,34.02 l,,Golf,,red 4 color for you to choose,LEED Applicable,18/8 Stainless Steel,,,26.67 cm,,Water Mark,4004633265337,,February 01,Ends And Galv Leg,,23.81 cm,81.28 cm,,Multilayer material,JOH-EPS-2424-G,,,,,,,,Cylinder,900500031,Drop-in,,798753227484,,7.51 g,5.643 cm,
Enamel,,,Dunnage Racks,34.07 l,,Dunnage Racks,,12x16 Orange Sherbet,Meets or exceeds ISTA Performance Standards,Anodized Aluminum,,,26.92 cm,,Wax,4006932666112,,2017,,,24.13 cm,83.82 cm,,Steel & Plastic,KRO-KR21-M42L,,,,,,,,Tin,WC31831-03,First In First Out,,066513923731,,7.55 g,5.659 cm,
Fiberglass,,,Horses,35.83 l,,Horses,,Parchment,NFPA 99 Antistatic Compliant,Epoxy Coated Wire,,,26.99 cm,,Bacteria,4000530529954,,November 05,,,24.55 cm,84.46 cm,,Calcium Alginate,MRS-HV2120-3UI-SS,,,,,,,,Half Round,S66M64M1EU,Curved,,753793936765,,7.61 g,5.7 cm,
Laminates,,,Tilting Skillets,35.96 l,,Tilting Skillets,,Soft Gray,LEED Applicable,Plastic Laminate Top With Vinyl Molding,,,27.31 cm,,Dust,4000530586315,,2017,,,24.64 cm,85.09 cm,,Spandex,MAR-5394B-132R,,,,,,,,,PTC/CF6253/302,Martini,,042976091316,,7.65 g,5.709 cm,
Metal,,,Camping,36.29 l,,Camping,,Squash,Compliant with California Proposition 65,Stainless Steel Interior W/copper Exterior,,,27.43 cm,,Fungus,4004633298878,,November 17,,,24.77 cm,86.36 cm,,AISI 410,AFS-4050-SS,,,,,,,,,PTC/CF/1744/128,Transitional,,642896992658,,7.7 g,5.758 cm,
Plastic,,,Dining,37.85 l,,Dining,,White & Black,Compliant with the VOC (Volatile Organic Compound) limits,Solid Wood,,,27.94 cm,,Germs,4000530668004,,2016,,,24.80 cm,88.90 cm,,Stainless steel with Toughned glass,ATS-ATB3072-BK-P2,,,,,,,,,PT/CF/5788/031,0Country,,781147774282,,7.8 g,5.787 cm,
Ceramics,,,accessori bagno,39.64 l,,accessori bagno,,Burma Teak,including California,Forged Steel,,,28.26 cm,,Grime,4004633236238,,October 04,,,25.00 cm,91.44 cm,,Clay,DEL-NLFAC-8,,,,,,,,,9377-1255-67-c30,0Rustic,,707751822010,,7.85 g,5.807 cm,
Enamel,,,Air Cond.,39.75 l,,Air Cond.,,Claret,Compliant with TSCA Regulations,Aluminized Steel W/coating,,,28.58 cm,,Mildew,4000530667243,,2017,,,25.08 cm,93.55 cm,,ABS + DuPont Nylon,PLY-80101VE,,,,,,,,,PTC/CF/5741/629,Individual Pans,,754207380655,,7.88 g,5.832 cm,
Fiberglass,,,Hot Dog Roller Grills,40.82 l,,Hot Dog Roller Grills,,Gray,RoHS Compliant,Oak Butcher Block,,,28.89 cm,,Mold,4000530635860,,August 06,,,25.40 cm,93.98 cm,,Tinware,BON-5088P,,,,,,,,,PerfecTem 14-CupDCC*3200,Petty Knife,,852895005536,,7.91 g,5.856 cm,
Metal,,,Desks,42.48 l,,Desks,,Bisque,EcoLogo Certified,Stainless Steel Housing,,,28.96 cm,,Viruses,4004633286301,,2017,,,25.72 cm,96.52 cm,,Synthetic textile,JAD-JTRH-2HT,,,,,,,,,PT/CF/5936/117,Countertop,,035886293789,,7.96 g,5.881 cm,
Plastic,,,Sports,42.59 l,,Sports,,Cottage White,FSC Certified,Two-sided,,,29.21 cm,,Water-Based Soil,4000530638328,,October 10,,,25.91 cm,99.06 cm,,Coral Velvet,MAY-MP3696,,,,,,,,,OH/KF06/NR,Wine Cellar,,041205701194,,8.02 g,5.906 cm,
Vinyl,,,Teapots & Creamers,42.64 l,,Teapots & Creamers,,Aruba Blue,Meets EPA standards,Oak & Walnut Laminate,,,29.46 cm,,Calcium,4006932662220,,2017,,,26.00 cm,100.33 cm,,Memory Foam,BLV-901-BASE,,,,,,,,,DK-1511-V-305-1,Euro Module,,086279090768,,8.06 g,6 cm,
Acrylic,,,Hunting,45.36 l,,Hunting,,Weatherwood,NSF Registered A7,Carbon Steel,,,29.53 cm,,Lime,7611990156382,,August 29,,,26.04 cm,104.14 cm,,Silk Flower Cloth,FOC-FFSDR1860GN,,,,,,,,,TP5UTP305,Perforated,,689076240499,,8.1 g,6.004 cm,
Ceramic,,,Real Estate Services,45.42 l,,Real Estate Services,,Green,Green Seal Certified/HACCP Certified,Non-heat Treated,,,29.69 cm,,Mineral Scale,4004633285885,,2017,,,26.16 cm,105.73 cm,,Plastic,CAR-LD1000N08,,,,,,,,,PTC/CF6456/107,Modern thermostatic straight radiator valve pair,,801593157924,,8.18 g,6.053 cm,
Chrome,,,Advertising,49.21 l,,Advertising,,Burgundy,California State Fire Marshal Approved for Fire Safety (CSFM),metal,,,29.72 cm,,Rust,4000530675941,,June 16,,,26.42 cm,106.68 cm,,Faux Leather,INT-C595-NFS-UPFC,,,,,,,,,PTC/CF6443/530,Grill/Smoothtop,,400000014500,,8.2 g,6.102 cm,
Fiberglass,,,Sheds,50.8 l,,Sheds,,White,Meets minimum EPA standards,16 ga. SS Top,,,29.85 cm,,Soap Scum,7311271451495,,2017,,,26.67 cm,109.22 cm,,Metal + Ceramic,BUF-010RW24,,,,,,,,,PTC/CF5981/769,Cabinet Base With Undershelves,,736211515896,,8.33 g,6.152 cm,
Glass,,,Living,50.97 l,,Living,,Cedar,Compliant with all various state phosphate regulations,16 ga. SS Legs,,,29.97 cm,,Bird Feces,7311271451518,,December 15,,,26.91 cm,111.76 cm,,abs,CAM-PPB23176,,,,,,,,,CH458 BOCL-CB,Fashionable,,885456461168,,8.38 g,6.201 cm,
Metal,,,Tables & Bases,52 l,,Tables & Bases,,Black,Compliant with TSCA regulations,Flexible Plastic,,,30.16 cm,,Dust,4000530663375,,2016,,,26.92 cm,114.30 cm,,PP,FOR-47645,,,,,,,,,SMD/CF/5805/70,Balloon,,971473176106,,8.44 g,6.248 cm,
Plastic,,,Ice Maker Accessories,52.16 l,,Ice Maker Accessories,,Chocolate Brown,Complies with California Proposition 65,glass,,,30.48 cm,,Insect Residue,4006932666044,,October 28,,,26.99 cm,116.84 cm,,Glass0Fiber,ELK-DDT-72-LX,,,,,,,,,UOF1013_4993327,Hearts,,836370002289,,8.46 g,6.250 cm,
Tile,,,Raw Materials,53.94 l,,Raw Materials,,Weatherwood on Black,Complies with the VOC (Volatile Organic Compound) limits,Leather-like,,,30.80 cm,,Oil,4000530682789,,2017,,,27.00 cm,119.38 cm,,Polyurethane,JOH-OKT43-O,,,,,,,,,YDD1003_6741727,Geometrics,,847254048576,,8.5 g,6.299 cm,
Vinyl,,,Power,54.43 l,,Power,,Burgundy on Black,including California,Stainless Steel Front And Sides,,,30.99 cm,,Soil,4000530619471,,October 15,,,27.28 cm,119.89 cm,,Fiberglass Composite,BER-DP23120S,,,,,,,,,WI-ST-20-BR-Ottoman,All Purpose,,086876184426,,8.6 g,6.348 cm,
Wood,,,Apartment Sales,55.45 l,,Apartment Sales,,Cedar on Black,Fully registered with the Federal EPA and each of the 50 State EPA agencies (and the District of Columbia),18 Gauge,,,31.12 cm,,Tar,4000530673800,,2017,,,27.31 cm,121.76 cm,,Visa (100% Polyester),ADV-VKS-249,,,,,,,,,BA1013BK,Demitasse Spoon,,086279022981,,8.61 g,6.378 cm,
Cloth,,,Archery,56.63 l,,Archery,,Cedar on Green,NSF Classification D2,Concrete,,,31.24 cm,,Dust,4000530679895,,September 16,,,27.43 cm,121.92 cm,,Die cast zinc,INT-HP2236PDMB,,,,,,,,,CF/PTC/4252/003,Wet Area,,010942213789,,8.62 g,6.398 cm,
Fabric,,,Diving,56.7 l,,Diving,,Cedar on Chocolate Brown,Level 2 Certified,High Carbon Steel Blade W/wood Handle,,,31.43 cm,,Fingerprints,4000530659200,,2017,,,27.46 cm,124.46 cm,,Not specified by manufacturer,PLY-24066PKO2,,,,,,,,,SF-450P14PE,Egg,,066311038187,,8.65 g,6.447 cm,
Chrome,,,Travel Services,56.78 l,,Travel Services,,Weatherwood on Chocolate Brown,Meets or exceeds ANSI/BIFMA Standards,Maple Plank,,,31.75 cm,,Smudges,4000530586490,,December 08,,,27.62 cm,127.00 cm,,Crystal,HOW-SC-CDS40E-8,,,,,,,,,MC46FOOT_white,Ladle Type,,630870194860,,8.7 g,6.496 cm,
Glass,,,Commercial Espresso Machine,59.42 l,,Commercial Espresso Machine,,Scarlet Red,SCS Indoor Advantage Certified,Glass,,,32.07 cm,,Dander,4000530674531,,2017,,,27.78 cm,129.54 cm,,Domestically harvested solid Pine lumber,ONE-R4020000115S,,,,,,,,,YJ38-AF499-12H,Heated Base With Sneeze Guard,,874951001146,,8.8 g,6.535 cm,
Mirrors,,,Purses,60.56 l,,Purses,,Pacific Blue,SCS Indoor Advantage Gold Certified,With Cover,,,32.39 cm,,Dust,4000530667991,,January 25,,,27.94 cm,132.08 cm,,Wing: Stainless steel SS316; Bolt: Stainless steel SS430 F,AFP-U12160,,,,,,,,,30022854,European Steak Knife,,636047271211,,8.9 g,6.575 cm,
Ceramic,,,Drink Dispensers,61.32 l,,Drink Dispensers,,Kiwi Green,ADA Compliant,plastic,,,32.51 cm,,Fingerprints,4211129696401,,2017,,,28.00 cm,133.99 cm,,Cotton,CDD-CM-1418,,,,,,,,,PT/CF/3177/909,Fixed Cut,,799666318153,,8.91 g,6.594 cm,
Chrome,,,Hot Plates,63.5 l,,Hot Plates,,Sunburst Yellow,GREENGUARD Certified,Aluminum And Black,,,32.69 cm,,Mites,4000530567246,,December 06,,,28.19 cm,134.62 cm,,Polyester,ACY-420-2-3,,,,,,,,,PT/CF/5883/305,Flat Top W/blender Recessed Step,,745176727329,,8.97 g,6.614 cm,
Mirrors,,,Paintings,64.35 l,,Paintings,,Mango Orange,EPA Safer Choice Label (DfE),SS Sink/ Galvanized Legs,,,32.70 cm,,Pollen,4000530677921,,2017,,,28.26 cm,136.53 cm,,Wood,RAN-14G-IC-5,,,,,,,,,PTC/CF/5739/574,Rolls,,027045784351,,9.00 g,6.644 cm,
