Brand,Interface,Model,"Portable Memory (Pen, Memory Card...)",Processor,Material,Condition,Memory Speed,Screen Size,Operating System,Output Voltage,Battery Capacity,Storage Capacity,UPC,Color,Power Supply,Security,Memory,Graphics Card,Data Transfer Rate,Warranty,Category,Clock Speed,Compliant Standards,Cable Length,Input,Cache Memory,RAID Level,Processor Socket,Data Link Protocol,Battery Type,Processor Core,Average Seek Time,Rotational Speed,Weight,Generation,Product Type,Country of Origin,EAN,Memory Type,Reading Speed,Writing Speed,SKU,Resolution
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0882658181443,,,,C9V73AA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5052461760950,,,,C9V73AA#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718066334404,,,,INFD16GBXPRHOT-ROD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0883585460175,,,,DK-410102-005-R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718226224712,,,,90XB001P-BSL000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0763649091173,,,,IS1805,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7636490078491,,,,B-SFTP6015Y,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5052179138768,,,,90NB0BP2-M01390,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8713439165685,,,,K501UQ-DM021T-BE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888304719,,,,S14A-000-20512,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0675901218818,,,,SP016GBUF2T07V1B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5032037050012,,,,PX04SHB080,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0718037719054,,,,WS60 6QJ-056NL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0718037724515,,,,QK761A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001435104002,,,,CISCO891-K9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045644245,,,,90SB0430-M0UAY0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900263992,,,,IB2202,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392209710,,,,90NP01W2-M01080,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0814914020883,,,,Z370C-1B037A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4043619891672,,,,V2J54EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014619210350,,,,BLE4C8G3D21BCE1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5397063916696,,,,J4839A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065271713,,,,J4839A#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055146587675,,,,9842240,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392939839,,,,Complete C2 Black Pearl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065322163,,,,Complete C2 Black Pearl PowerLine,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7611990193400,,,,COMPLETE C2 BLACKPEARL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0051122258923,,,,20FH0036MH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0065030866354,,,,ICUSB2322RJ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0672042121243,,,,VFY:Q5550M74ATNL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4040849953804,,,,HU-5870V,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4719072495800,,,,OWCSSDA13MP4.0K,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5056006113706,,,,HDWC120EW3J1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713883131391,,,,HDWC120EW3JI,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4718466006318,,,,PX-128M8SEGN,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020021186626,,,,IB7320,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4040895744777,,,,P1G84EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889894130747,,,,P1G84EA#UUG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190793500402,,,,NT.G62EG.003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190780017159,,,,WC033,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0884962566190,,,,B-UTP50025S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8849625661904,,,,URB-20070,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4710700397367,,,,90PD01K1-M02380,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0757120825272,,,,G20CB-NL009T,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8714909007108,,,,MBD-X8DAE-B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0848661018510,,,,B-FTP610,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712764486162,,,,STUDIO280BK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0812437021875,,,,FB9505,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0708326913867,,,,1RFM.003.04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065319316,,,,N6PATCH7OR,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719675005822,,,,AUE710-64G-CRG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016032212171,,,,90PD01E1-M00110,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016032251842,,,,F31DA-NL001S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8693661415546,,,,ZT-P10810E-30P,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0751492530451,,,,IB3651,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536403341244,,,,FIB422003P,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0887758537947,,,,4XB0F28616,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0760557789840,,,,MMDDR2-5300/1024SO,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5397063620876,,,,855S-005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0672042096329,,,,MDR-AS600BTB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045344053,,,,MDRAS600BTB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4260459611578,,,,MDRAS600BTB.CE7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392440816,,,,NK-ELC-AIA2-RE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0888793057117,,,,NT.LEDEG.002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8887930571174,,,,MJVE2FN/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0887770965353,,,,KH.16008.018,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0886111637584,,,,S26361-F3278-L200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4043718007493,,,,S14A-000-24508,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712842220077,,,,81Y6542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392238512,,,,F3-17000CL9Q2-32GBZH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718226224941,,,,FB7030,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0740617250985,,,,507799-L21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190404140003,,,,STP50025WAA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888410335,,,,TR5014GW01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054533621367,,,,N5810PRO/10TBNAS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0675901246309,,,,P4A40EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053162830271,,,,P4A40EA#UUG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8717371692322,,,,iPad pro-949129,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0757120805533,,,,P73-07173,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7571208055336,,,,TL-WDR3500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8809166672371,,,,TS8GPSSD-M,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7636490070280,,,,KN.1GB02.031,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0675901214391,,,,AJ816A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0675901237857,,,,755382-L21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0735858261111,,,,TS51210RH4812-EU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0760557814023,,,,80NR003QGE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0765441605213,,,,UTP-6003/0.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718722431720,,,,ACR-DG.E08EH.005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392395642,,,,DG.E08EH.005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0886111098309,,,,IB250002I343,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002164437003,,,,30AH005KMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4948382780652,,,,D87-05924,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0191376409839,,,,STDD2000401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065246094,,,,454529-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889296300724,,,,01RNR,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0065030844871,,,,ACR-CB9079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0888228017297,,,,CSE-504-203B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8714909006033,,,,ICUSBCPLLD25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5712505165188,,,,MMG3863/4GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065340686,,,,SP-LC ALC-ID355-BL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0765441622616,,,,90LMGB001R01021C,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190404765855,,,,90LMGB001R01021C-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889296575917,,,,VX238T,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392987168,,,,ST3200FM0043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5397063781584,,,,8060-H100B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4948570111978,,,,2PCM-FPCEM165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0735858271806,,,,M7X13EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0735858271813,,,,KVR333X64SC25/1G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5032037057189,,,,SFTP702G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392848445,,,,AHBSH-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4717677325928,,,,AHBSH-401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7611990194971,,,,DGWAHBSH-401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054484283065,,,,50.TL701.010,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5705965854860,,,,41Y8236,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713147218370,,,,CT064M4SSD1CCA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0746320984995,,,,65264038,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719675000322,,,,634956-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889894130846,,,,qM-BTK-IPADA-W,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8717306632065,,,,BT4K28ET11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392978487,,,,00139706,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4260285295218,,,,WS-C2960X-48LPD-L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045029851,,,,X7H84EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716309088145,,,,X7H84EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716051052074,,,,N8J58EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0163120645527,,,,637707-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0649528762856,,,,B-UTP510O,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6495287628568,,,,qM-SP-AP-IPPRO9.7-CL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0032017862166,,,,338-BJFE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4026203462892,,,,IB2151,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712909120586,,,,416571-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045930584,,,,CD8067303592900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5397063898787,,,,UTP603RBOOTED,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716659436225,,,,BSTANDM4-R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716659587590,,,,CT3K16G3ERSLD4160B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392449383,,,,SD-T032UHS1(BL5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0767035191058,,,,HG-SP ASU-ZF35.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0766623736992,,,,450963-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716659521426,,,,ZT-P10810F-10P,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718722158337,,,,INFD4GBNEONOR,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889523003411,,,,IBM-240EMLCMWL-S6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4719331844219,,,,90NB08F5-M00980,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0763649049624,,,,572071R-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0711719191971,,,,ADZIFCF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065285536,,,,CQ3016S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0887111427748,,,,TDTRD416G2400HC15ADC01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0887111427779,,,,678244-L21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0887111427786,,,,RL8707,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0887111427793,,,,NHC0078U,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0887758962213,,,,90NB0CJ1-M13210,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054484629108,,,,HM.HFKEE.001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8871114277792,,,,HM.HGPEG.001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8871114277938,,,,WD6401AALS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719299004218,,,,WD6401AALS?1PK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045259340,,,,50321281,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8055742120259,,,,LSDMI128B1EU633R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4040895089397,,,,LSDMI128BBEU633R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055288425835,,,,LSDMI128GBBEU633R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0886576011127,,,,SM4361AD1L1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712702632552,,,,SM4363AD1T1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8865760111272,,,,SM4366AD1E1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4260285290244,,,,NX.G7SEH.002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0884962569603,,,,FB8710,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888463607,,,,ACR-CB8539,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065229288,,,,SYS-E200-8D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718722502437,,,,NX.GKBEH.016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0757120824343,,,,SS-1250KM F3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0672042013524,,,,SS-1250XM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0672042630660,,,,X-1250,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4719072541989,,,,STP601Y,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719675005303,,,,580-ABWO,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065321890,,,,GV-N1060WF2-3GD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0649528772329,,,,USB3.1CHDMI1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0858084004014,,,,H5U58ES,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0858084004267,,,,HPD-H5U58ES-UUG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0741360243989,,,,90PD01L1-M17800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392145568,,,,K9K42EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055288411814,,,,FB7807,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190151479821,,,,IB6351,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190404770293,,,,686826-L21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3307215633434,,,,70SB136000003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0886111094875,,,,IB2220,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5704327969198,,,,20B3007CMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0065030833516,,,,NB-128MICRO/SSD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0650308335160,,,,P37XV6-DE426T,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5052179667558,,,,VA2419-SH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0884942058660,,,,P1E18EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055277016525,,,,STP620,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4007249420558,,,,JD368B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900455236,,,,DW016A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045025594,,,,8070R-010B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889233461594,,,,80SM00J0MH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055146638988,,,,766211-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055146640073,,,,I30842,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889894451309,,,,21.99.9905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5704327511380,,,,20BE00CCMS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0637203207129,,,,PROVGA30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5420016818737,,,,ZUB-XPSSD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0757120824718,,,,S14A-000-26106,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0191376620159,,,,S352BMU3N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190151544307,,,,IS1705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889349758977,,,,SS-500L1U,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900758979,,,,ST250VT000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900690774,,,,76911G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536403347383,,,,J8776A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4039407023264,,,,AK3905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0886112779481,,,,M45PATCH15BL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8861127794812,,,,5E10079284,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889899888209,,,,RL1615,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0884420869269,,,,J9481A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190780872260,,,,CM8066201926905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0757120837619,,,,SHP8000/10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7571208376196,,,,JD069A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8435439800860,,,,MMI1200/8GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718226222527,,,,F200-BB200H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065273366,,,,10AW008KMB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054533158498,,,,GQA48-ADSS-S8NC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5705965896907,,,,4044951002856,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7611990169269,,,,LA2306x,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888473255,,,,XN375AA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055146570387,,,,XN375AA#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5060220251212,,,,XN375AA#ABU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065254907,,,,XN375AT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054484415633,,,,XN375AT#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045259517,,,,B-SFTP601G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4018843890586,,,,K2R12A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5705965835043,,,,qM-BKRC-AI-972017-PNK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190198166876,,,,A70MD PRO,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190198167422,,,,TS64MFB72V6J-T,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8717825944069,,,,TS64MFB72V6J-TE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0672042092413,,,,FB8810,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045436154,,,,BEU3192,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888473675,,,,90PX0061-M01470,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4011376704320,,,,PWS-750P-1R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0886112797140,,,,T4J19ET,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3126170141125,,,,T4J19ET#UUG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7320288486109,,,,CT16G3ERVLD4160B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716659347101,,,,90NB0DR5-M04150,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716659366201,,,,FX502VM-FY241T-BE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716659378778,,,,IK8701,
